EmployeeId,DateWorked,JobCode,CostCode,PayType,HoursWorked,WorkOrder,Department,Notes
993,2025-08-13,JOB537,0401,DT,10,WO614,Safety,Weekend work
209,2025-06-27,JOB277,0441,OT,6,WO631,FieldOps,Night shift
310,2025-05-30,JOB599,0448,REG,4,WO753,Maintenance,Night shift
537,2025-08-05,JOB420,0412,REG,6,WO809,Maintenance,Weekend work
591,2025-07-29,JOB280,0435,DT,8,WO707,Maintenance,Regular schedule
933,2025-06-24,JOB490,0400,OT,6,WO241,FieldOps,Night shift
776,2025-05-23,JOB998,0462,DT,8,WO206,FieldOps,Night shift
432,2025-06-01,JOB764,0443,DT,8,WO634,Maintenance,Weekend work
564,2025-06-13,JOB897,0493,OT,10,WO624,FieldOps,Overtime
949,2025-06-04,JOB722,0429,DT,12,WO167,Logistics,Weekend work
716,2025-07-19,JOB870,0441,DT,10,WO583,Safety,Weekend work
760,2025-06-21,JOB243,0438,OT,4,WO447,Logistics,Day shift
666,2025-07-07,JOB304,0490,REG,6,WO452,Logistics,Weekend work
918,2025-07-19,JOB912,0437,OT,10,WO864,FieldOps,Night shift
147,2025-07-17,JOB565,0484,REG,6,WO413,FieldOps,Day shift
196,2025-07-24,JOB402,0400,OT,12,WO832,Maintenance,Regular schedule
875,2025-06-20,JOB157,0466,OT,8,WO476,Safety,Emergency call
162,2025-07-16,JOB898,0490,REG,8,WO270,Safety,Overtime
813,2025-05-31,JOB566,0401,DT,8,WO699,Maintenance,Regular schedule
323,2025-07-15,JOB266,0456,DT,6,WO354,Logistics,Day shift
258,2025-06-17,JOB217,0448,OT,6,WO268,Safety,Regular schedule
869,2025-06-29,JOB512,0438,REG,10,WO197,Maintenance,Weekend work
814,2025-06-09,JOB412,0402,OT,6,WO905,Logistics,Night shift
186,2025-06-24,JOB958,0471,DT,10,WO982,Safety,Emergency call
761,2025-07-04,JOB965,0414,OT,12,WO678,FieldOps,Weekend work
445,2025-08-07,JOB158,0488,DT,8,WO642,Logistics,Overtime
834,2025-08-12,JOB706,0445,REG,4,WO444,Logistics,Day shift
639,2025-08-09,JOB675,0427,REG,6,WO166,Logistics,Regular schedule
520,2025-08-10,JOB392,0434,REG,8,WO364,Logistics,Regular schedule
901,2025-08-16,JOB979,0498,OT,12,WO325,Safety,Emergency call
333,2025-08-07,JOB528,0487,DT,4,WO151,Maintenance,Regular schedule
709,2025-08-05,JOB669,0427,OT,8,WO606,Safety,Emergency call
828,2025-06-09,JOB869,0442,OT,12,WO101,Safety,Emergency call
875,2025-05-25,JOB500,0429,DT,8,WO721,Maintenance,Weekend work
797,2025-06-21,JOB693,0476,OT,8,WO459,Safety,Emergency call
900,2025-08-04,JOB698,0400,REG,10,WO122,Maintenance,Regular schedule
865,2025-07-09,JOB898,0481,OT,8,WO316,Maintenance,Day shift
969,2025-07-06,JOB453,0478,REG,10,WO769,Safety,Emergency call
168,2025-07-19,JOB620,0489,DT,12,WO831,Logistics,Overtime
248,2025-07-22,JOB550,0434,REG,4,WO987,FieldOps,Weekend work
423,2025-05-23,JOB523,0411,DT,4,WO279,Safety,Weekend work
422,2025-06-26,JOB796,0490,REG,4,WO320,FieldOps,Emergency call
635,2025-06-21,JOB774,0436,REG,8,WO207,Maintenance,Night shift
141,2025-07-13,JOB158,0409,OT,8,WO721,Maintenance,Weekend work
779,2025-08-01,JOB206,0436,DT,10,WO235,FieldOps,Day shift
136,2025-07-24,JOB766,0436,OT,10,WO646,Logistics,Emergency call
557,2025-08-09,JOB876,0442,OT,8,WO986,Maintenance,Emergency call
193,2025-07-12,JOB501,0429,OT,12,WO731,Maintenance,Weekend work
185,2025-06-21,JOB782,0467,DT,4,WO805,FieldOps,Regular schedule
152,2025-06-25,JOB626,0461,OT,6,WO666,FieldOps,Night shift
988,2025-07-05,JOB588,0461,DT,12,WO879,Logistics,Emergency call
602,2025-08-16,JOB539,0443,DT,6,WO691,Maintenance,Night shift
506,2025-07-15,JOB515,0485,OT,12,WO305,FieldOps,Emergency call
888,2025-05-30,JOB985,0472,OT,10,WO101,Logistics,Night shift
335,2025-07-23,JOB232,0453,OT,10,WO616,Logistics,Night shift
283,2025-07-01,JOB853,0482,REG,10,WO306,Logistics,Emergency call
668,2025-08-13,JOB793,0422,DT,12,WO332,FieldOps,Weekend work
205,2025-07-25,JOB686,0491,DT,4,WO884,Maintenance,Day shift
454,2025-06-08,JOB957,0427,REG,10,WO382,Logistics,Night shift
442,2025-07-09,JOB698,0406,DT,8,WO264,FieldOps,Emergency call
131,2025-05-27,JOB861,0478,REG,8,WO724,Maintenance,Weekend work
282,2025-08-04,JOB463,0493,OT,8,WO295,Safety,Day shift
228,2025-07-18,JOB109,0496,OT,4,WO807,FieldOps,Weekend work
851,2025-07-20,JOB331,0476,REG,10,WO772,Logistics,Weekend work
530,2025-07-29,JOB219,0494,OT,8,WO522,FieldOps,Overtime
912,2025-07-09,JOB993,0457,REG,8,WO850,Logistics,Weekend work
493,2025-05-24,JOB708,0444,DT,8,WO981,Maintenance,Regular schedule
986,2025-07-24,JOB738,0431,DT,6,WO387,Logistics,Overtime
455,2025-07-20,JOB928,0483,REG,10,WO240,Logistics,Day shift
633,2025-06-25,JOB532,0451,DT,10,WO474,Maintenance,Emergency call
389,2025-06-09,JOB273,0462,REG,10,WO643,Logistics,Weekend work
210,2025-08-07,JOB186,0430,REG,4,WO445,Logistics,Overtime
826,2025-06-06,JOB562,0448,OT,4,WO614,Maintenance,Emergency call
189,2025-08-11,JOB271,0417,OT,4,WO962,Logistics,Day shift
209,2025-06-10,JOB348,0477,OT,8,WO777,Maintenance,Weekend work
554,2025-08-10,JOB114,0422,OT,12,WO302,FieldOps,Night shift
258,2025-06-11,JOB639,0499,OT,4,WO774,Maintenance,Regular schedule
174,2025-07-14,JOB220,0419,OT,4,WO449,Safety,Overtime
307,2025-05-26,JOB468,0477,DT,8,WO936,Maintenance,Weekend work
851,2025-07-27,JOB928,0409,OT,12,WO151,Safety,Night shift
603,2025-08-06,JOB631,0496,OT,4,WO838,FieldOps,Day shift
787,2025-07-15,JOB583,0487,DT,10,WO462,Maintenance,Night shift
114,2025-06-15,JOB593,0480,REG,6,WO654,Maintenance,Night shift
357,2025-07-14,JOB944,0488,DT,8,WO981,FieldOps,Day shift
160,2025-06-05,JOB494,0444,REG,12,WO651,Logistics,Overtime
913,2025-06-23,JOB797,0413,DT,6,WO695,Logistics,Weekend work
243,2025-06-23,JOB605,0454,OT,12,WO643,Logistics,Regular schedule
180,2025-08-03,JOB663,0435,REG,4,WO456,Logistics,Regular schedule
874,2025-06-29,JOB585,0495,REG,12,WO105,Maintenance,Weekend work
128,2025-05-30,JOB250,0483,REG,4,WO568,FieldOps,Day shift
790,2025-05-31,JOB270,0451,DT,8,WO424,FieldOps,Overtime
118,2025-06-23,JOB540,0457,OT,6,WO388,Maintenance,Day shift
727,2025-08-15,JOB845,0425,REG,10,WO101,FieldOps,Day shift
988,2025-07-25,JOB551,0468,DT,6,WO240,Maintenance,Emergency call
645,2025-06-16,JOB441,0435,REG,10,WO444,Maintenance,Day shift
226,2025-08-08,JOB991,0482,OT,6,WO481,Maintenance,Emergency call
766,2025-07-16,JOB805,0489,REG,12,WO621,Logistics,Regular schedule
283,2025-05-25,JOB682,0442,DT,4,WO766,Safety,Weekend work
978,2025-06-11,JOB853,0458,OT,12,WO408,Maintenance,Overtime
981,2025-06-11,JOB725,0443,DT,4,WO125,Safety,Emergency call
901,2025-07-21,JOB998,0436,DT,10,WO901,FieldOps,Day shift
173,2025-08-03,JOB746,0422,DT,6,WO792,Logistics,Weekend work
505,2025-06-27,JOB347,0490,DT,6,WO638,Maintenance,Emergency call
947,2025-07-27,JOB214,0401,REG,8,WO571,Safety,Regular schedule
353,2025-07-06,JOB899,0468,REG,8,WO110,Logistics,Day shift
807,2025-07-14,JOB268,0416,OT,10,WO622,Maintenance,Night shift
447,2025-06-19,JOB303,0481,DT,12,WO573,Logistics,Weekend work
841,2025-06-01,JOB634,0440,REG,8,WO507,Safety,Day shift
367,2025-07-27,JOB780,0410,REG,10,WO410,Logistics,Emergency call
902,2025-07-25,JOB785,0487,DT,12,WO666,Logistics,Emergency call
116,2025-08-09,JOB226,0453,REG,4,WO562,Maintenance,Regular schedule
541,2025-07-12,JOB349,0444,DT,10,WO606,Maintenance,Night shift
479,2025-06-03,JOB571,0432,DT,6,WO112,FieldOps,Emergency call
934,2025-06-07,JOB661,0491,OT,12,WO294,Maintenance,Overtime
868,2025-06-21,JOB862,0497,DT,4,WO330,Maintenance,Overtime
697,2025-07-14,JOB414,0475,REG,8,WO643,Safety,Emergency call
451,2025-08-11,JOB643,0407,REG,8,WO896,FieldOps,Weekend work
853,2025-05-25,JOB829,0413,REG,12,WO370,FieldOps,Regular schedule
890,2025-06-15,JOB111,0450,REG,4,WO650,Safety,Overtime
928,2025-07-21,JOB748,0405,DT,6,WO624,Safety,Day shift
897,2025-06-22,JOB198,0484,OT,10,WO916,FieldOps,Emergency call
648,2025-07-09,JOB606,0419,OT,4,WO737,Maintenance,Emergency call
650,2025-06-21,JOB982,0465,REG,8,WO197,Maintenance,Regular schedule
488,2025-06-28,JOB639,0408,OT,10,WO707,FieldOps,Emergency call
991,2025-07-21,JOB720,0435,OT,10,WO241,Maintenance,Night shift
140,2025-06-12,JOB185,0482,REG,6,WO899,Logistics,Emergency call
535,2025-08-06,JOB983,0439,OT,4,WO565,Logistics,Weekend work
212,2025-06-19,JOB755,0420,OT,6,WO458,FieldOps,Day shift
762,2025-06-10,JOB832,0479,DT,12,WO707,Logistics,Night shift
797,2025-05-28,JOB590,0498,OT,12,WO279,Logistics,Night shift
919,2025-07-01,JOB981,0410,OT,4,WO169,FieldOps,Regular schedule
371,2025-07-21,JOB477,0407,REG,4,WO736,Maintenance,Night shift
816,2025-06-02,JOB308,0431,DT,10,WO957,Safety,Emergency call
308,2025-06-11,JOB743,0410,DT,8,WO234,FieldOps,Regular schedule
337,2025-07-25,JOB102,0463,DT,8,WO509,FieldOps,Weekend work
190,2025-08-06,JOB107,0438,DT,4,WO888,Logistics,Weekend work
290,2025-06-08,JOB724,0404,REG,4,WO572,Safety,Emergency call
486,2025-07-13,JOB694,0460,OT,4,WO543,Safety,Regular schedule
311,2025-07-19,JOB538,0476,OT,8,WO525,FieldOps,Weekend work
260,2025-08-12,JOB312,0446,DT,8,WO107,Logistics,Night shift
906,2025-07-18,JOB404,0457,OT,6,WO582,Safety,Night shift
795,2025-05-26,JOB866,0486,REG,6,WO727,Logistics,Day shift
381,2025-06-29,JOB825,0416,DT,12,WO373,FieldOps,Weekend work
310,2025-07-08,JOB773,0496,OT,10,WO688,Logistics,Regular schedule
282,2025-07-04,JOB963,0452,DT,12,WO137,Logistics,Overtime
449,2025-05-29,JOB421,0453,REG,6,WO111,Safety,Night shift
641,2025-07-23,JOB501,0418,REG,10,WO468,Maintenance,Regular schedule
206,2025-08-13,JOB349,0460,REG,8,WO469,Logistics,Night shift
100,2025-06-22,JOB411,0448,REG,8,WO414,FieldOps,Night shift
956,2025-06-11,JOB529,0491,DT,12,WO853,Safety,Overtime
923,2025-08-05,JOB656,0488,REG,4,WO879,Logistics,Regular schedule
301,2025-07-20,JOB831,0469,REG,8,WO248,Maintenance,Overtime
212,2025-05-26,JOB171,0431,OT,4,WO519,Safety,Day shift
127,2025-06-21,JOB373,0415,DT,10,WO999,Logistics,Weekend work
478,2025-06-01,JOB676,0475,OT,4,WO574,Safety,Emergency call
553,2025-06-21,JOB269,0448,OT,4,WO193,Maintenance,Overtime
159,2025-08-01,JOB535,0466,REG,6,WO345,Maintenance,Overtime
460,2025-07-01,JOB781,0456,DT,12,WO830,Logistics,Weekend work
470,2025-06-16,JOB392,0444,DT,12,WO823,FieldOps,Overtime
294,2025-07-15,JOB506,0405,OT,4,WO927,Maintenance,Overtime
381,2025-05-24,JOB806,0432,REG,8,WO448,Maintenance,Emergency call
892,2025-07-05,JOB184,0435,REG,8,WO979,Maintenance,Regular schedule
909,2025-06-04,JOB408,0405,OT,12,WO557,Safety,Overtime
621,2025-08-03,JOB715,0482,REG,12,WO322,Safety,Emergency call
669,2025-05-29,JOB559,0427,REG,8,WO456,Logistics,Night shift
179,2025-06-16,JOB234,0423,DT,6,WO922,Safety,Overtime
205,2025-07-03,JOB237,0483,REG,12,WO353,Maintenance,Day shift
524,2025-06-28,JOB631,0452,OT,4,WO945,Maintenance,Overtime
545,2025-08-03,JOB545,0481,DT,8,WO304,FieldOps,Regular schedule
284,2025-07-29,JOB474,0410,REG,8,WO498,Safety,Regular schedule
276,2025-05-25,JOB154,0453,OT,6,WO960,Maintenance,Emergency call
891,2025-05-31,JOB274,0480,REG,8,WO499,FieldOps,Overtime
495,2025-07-02,JOB725,0487,OT,10,WO369,Safety,Night shift
367,2025-07-19,JOB409,0449,OT,6,WO841,Safety,Day shift
156,2025-07-31,JOB673,0484,DT,8,WO719,Maintenance,Night shift
300,2025-08-06,JOB475,0432,DT,4,WO864,FieldOps,Day shift
540,2025-08-14,JOB853,0422,DT,8,WO985,Logistics,Day shift
620,2025-07-07,JOB792,0437,DT,4,WO906,Maintenance,Emergency call
210,2025-06-06,JOB990,0459,REG,8,WO351,Safety,Regular schedule
605,2025-06-17,JOB978,0481,DT,4,WO988,Safety,Overtime
768,2025-07-31,JOB810,0453,REG,8,WO214,Maintenance,Emergency call
642,2025-08-11,JOB977,0450,DT,4,WO827,Logistics,Emergency call
892,2025-07-21,JOB168,0453,REG,10,WO837,Maintenance,Weekend work
753,2025-08-15,JOB230,0480,DT,6,WO401,Safety,Overtime
720,2025-06-24,JOB942,0476,REG,8,WO347,Logistics,Night shift
587,2025-05-28,JOB952,0425,OT,6,WO917,Logistics,Emergency call
434,2025-07-29,JOB538,0417,OT,10,WO245,Logistics,Emergency call
451,2025-05-27,JOB583,0491,OT,8,WO106,Logistics,Day shift
127,2025-06-28,JOB327,0430,DT,12,WO697,Maintenance,Overtime
980,2025-06-01,JOB629,0495,REG,8,WO292,Maintenance,Weekend work
500,2025-08-03,JOB712,0415,REG,12,WO288,Maintenance,Day shift
453,2025-07-28,JOB679,0430,OT,4,WO256,FieldOps,Overtime
301,2025-07-27,JOB790,0471,REG,12,WO521,Maintenance,Overtime
470,2025-07-16,JOB234,0415,OT,12,WO893,Safety,Emergency call
276,2025-07-27,JOB120,0404,REG,6,WO967,FieldOps,Regular schedule
240,2025-08-07,JOB334,0431,REG,12,WO630,Maintenance,Weekend work
626,2025-08-01,JOB549,0407,REG,4,WO828,Logistics,Night shift
908,2025-06-15,JOB864,0482,OT,4,WO257,Maintenance,Weekend work
639,2025-07-26,JOB653,0450,REG,6,WO320,Logistics,Overtime
311,2025-07-12,JOB177,0412,REG,12,WO832,Maintenance,Regular schedule
760,2025-06-01,JOB552,0441,OT,4,WO215,Maintenance,Night shift
807,2025-05-26,JOB238,0420,DT,10,WO379,Safety,Night shift
909,2025-07-08,JOB600,0489,OT,10,WO757,Logistics,Regular schedule
985,2025-08-11,JOB882,0417,OT,6,WO619,Maintenance,Emergency call
987,2025-05-28,JOB284,0459,DT,4,WO473,FieldOps,Emergency call
396,2025-06-25,JOB704,0404,DT,4,WO747,Logistics,Weekend work
176,2025-05-29,JOB361,0499,REG,10,WO942,Maintenance,Night shift
965,2025-07-18,JOB379,0499,OT,12,WO545,Safety,Emergency call
418,2025-06-13,JOB436,0401,DT,8,WO879,FieldOps,Weekend work
980,2025-07-22,JOB375,0460,OT,6,WO588,Logistics,Day shift
135,2025-07-05,JOB357,0414,DT,8,WO383,FieldOps,Regular schedule
913,2025-08-09,JOB458,0417,REG,12,WO112,Logistics,Regular schedule
672,2025-06-03,JOB789,0409,DT,8,WO640,Logistics,Overtime
395,2025-06-02,JOB209,0419,OT,6,WO505,Maintenance,Night shift
907,2025-08-08,JOB415,0457,REG,10,WO509,Safety,Regular schedule
266,2025-06-05,JOB163,0429,REG,6,WO198,Maintenance,Weekend work
152,2025-06-27,JOB573,0494,DT,12,WO293,Safety,Day shift
263,2025-08-03,JOB814,0490,REG,4,WO440,FieldOps,Overtime
407,2025-08-10,JOB882,0441,OT,12,WO595,FieldOps,Overtime
871,2025-06-26,JOB563,0471,OT,6,WO927,Safety,Emergency call
141,2025-08-09,JOB451,0451,OT,4,WO867,FieldOps,Overtime
746,2025-06-18,JOB368,0422,OT,10,WO954,Logistics,Emergency call
592,2025-07-02,JOB518,0402,DT,12,WO226,Safety,Night shift
781,2025-05-29,JOB896,0428,REG,10,WO970,Logistics,Day shift
993,2025-07-09,JOB717,0497,REG,6,WO619,Logistics,Regular schedule
644,2025-07-28,JOB732,0452,DT,12,WO783,Safety,Day shift
264,2025-08-04,JOB538,0445,OT,8,WO828,FieldOps,Weekend work
863,2025-06-11,JOB430,0408,REG,4,WO541,FieldOps,Night shift
412,2025-08-19,JOB950,0483,OT,4,WO593,Logistics,Day shift
595,2025-08-09,JOB588,0466,REG,6,WO567,Logistics,Night shift
454,2025-08-05,JOB370,0445,DT,6,WO833,Maintenance,Overtime
339,2025-06-04,JOB560,0425,DT,4,WO810,Maintenance,Regular schedule
218,2025-06-20,JOB112,0479,REG,4,WO828,Logistics,Weekend work
115,2025-07-16,JOB995,0492,REG,8,WO135,Logistics,Day shift
400,2025-06-24,JOB970,0498,REG,6,WO944,Maintenance,Night shift
919,2025-08-07,JOB568,0410,OT,4,WO223,Safety,Emergency call
173,2025-07-24,JOB637,0469,OT,10,WO746,Maintenance,Regular schedule
432,2025-07-20,JOB832,0469,OT,4,WO973,Safety,Night shift
327,2025-06-14,JOB965,0443,OT,4,WO440,Logistics,Weekend work
594,2025-07-13,JOB673,0487,OT,12,WO446,Safety,Day shift
236,2025-05-26,JOB861,0415,DT,8,WO284,Maintenance,Weekend work
355,2025-05-24,JOB334,0406,DT,8,WO895,Logistics,Night shift
250,2025-07-13,JOB861,0465,REG,6,WO223,FieldOps,Overtime
641,2025-07-04,JOB536,0469,DT,8,WO515,Logistics,Regular schedule
938,2025-06-04,JOB589,0452,REG,4,WO423,Maintenance,Overtime
788,2025-07-05,JOB141,0407,OT,8,WO173,Logistics,Overtime
188,2025-07-02,JOB617,0490,REG,8,WO597,Maintenance,Night shift
124,2025-07-05,JOB856,0463,OT,6,WO979,FieldOps,Day shift
507,2025-07-07,JOB854,0415,OT,6,WO201,Safety,Day shift
954,2025-06-08,JOB928,0453,OT,6,WO881,Maintenance,Day shift
327,2025-06-12,JOB948,0445,DT,8,WO156,Safety,Overtime
868,2025-08-20,JOB591,0407,OT,12,WO470,Maintenance,Regular schedule
267,2025-06-05,JOB551,0402,DT,8,WO621,FieldOps,Overtime
584,2025-05-26,JOB222,0470,REG,6,WO995,Maintenance,Regular schedule
794,2025-07-10,JOB543,0468,DT,10,WO444,Logistics,Regular schedule
346,2025-08-14,JOB589,0474,REG,12,WO114,Logistics,Day shift
361,2025-07-10,JOB378,0436,REG,4,WO326,Maintenance,Night shift
899,2025-07-23,JOB761,0484,REG,4,WO619,Maintenance,Emergency call
706,2025-08-15,JOB310,0472,DT,6,WO340,Logistics,Regular schedule
720,2025-06-18,JOB259,0410,OT,6,WO349,FieldOps,Weekend work
714,2025-06-07,JOB996,0421,DT,12,WO975,Logistics,Regular schedule
240,2025-08-07,JOB893,0438,DT,6,WO856,FieldOps,Weekend work
503,2025-06-20,JOB496,0407,OT,6,WO927,Logistics,Regular schedule
947,2025-06-05,JOB783,0439,DT,10,WO113,Safety,Regular schedule
643,2025-07-02,JOB938,0472,OT,4,WO683,FieldOps,Regular schedule
936,2025-07-20,JOB982,0429,DT,12,WO924,Maintenance,Weekend work
809,2025-07-10,JOB517,0434,REG,4,WO495,Maintenance,Weekend work
171,2025-07-02,JOB910,0435,OT,10,WO890,FieldOps,Emergency call
121,2025-07-09,JOB869,0455,DT,8,WO220,Maintenance,Night shift
550,2025-06-16,JOB249,0410,DT,6,WO235,Safety,Emergency call
223,2025-06-13,JOB569,0445,DT,4,WO653,Logistics,Weekend work
595,2025-06-14,JOB159,0459,DT,10,WO532,Logistics,Emergency call
441,2025-08-20,JOB190,0469,DT,12,WO571,Maintenance,Regular schedule
505,2025-08-02,JOB894,0422,DT,6,WO412,FieldOps,Day shift
870,2025-08-19,JOB411,0405,REG,8,WO847,FieldOps,Emergency call
862,2025-06-18,JOB946,0408,OT,4,WO706,Safety,Weekend work
113,2025-08-16,JOB530,0464,DT,12,WO463,Logistics,Night shift
729,2025-07-13,JOB845,0436,OT,10,WO395,Safety,Overtime
104,2025-07-25,JOB146,0417,DT,8,WO707,Safety,Emergency call
593,2025-08-20,JOB206,0455,DT,10,WO145,Logistics,Regular schedule
910,2025-07-01,JOB911,0472,REG,12,WO779,FieldOps,Emergency call
931,2025-08-17,JOB367,0484,DT,12,WO518,Maintenance,Weekend work
211,2025-08-13,JOB511,0480,REG,12,WO584,Maintenance,Day shift
426,2025-06-30,JOB243,0488,REG,12,WO393,Logistics,Regular schedule
502,2025-06-21,JOB488,0416,REG,12,WO817,Logistics,Overtime
316,2025-06-26,JOB684,0412,REG,8,WO524,Logistics,Night shift
672,2025-08-20,JOB527,0498,DT,8,WO887,Logistics,Overtime
889,2025-07-13,JOB659,0402,REG,10,WO992,Logistics,Overtime
622,2025-06-14,JOB658,0484,OT,10,WO251,Logistics,Day shift
248,2025-07-15,JOB873,0437,DT,8,WO492,Logistics,Regular schedule
734,2025-07-31,JOB982,0411,OT,10,WO317,FieldOps,Day shift
112,2025-08-15,JOB258,0489,DT,6,WO169,Maintenance,Night shift
202,2025-08-09,JOB249,0443,REG,6,WO350,FieldOps,Weekend work
972,2025-08-09,JOB131,0421,DT,6,WO179,Logistics,Day shift
661,2025-06-13,JOB952,0407,OT,8,WO201,Safety,Overtime
360,2025-07-05,JOB800,0473,REG,6,WO411,FieldOps,Overtime
330,2025-08-11,JOB892,0485,DT,8,WO760,Safety,Night shift
800,2025-06-21,JOB293,0434,OT,6,WO595,Logistics,Regular schedule
197,2025-06-02,JOB213,0494,REG,12,WO944,Safety,Day shift
584,2025-06-10,JOB944,0427,OT,6,WO668,Safety,Overtime
464,2025-06-13,JOB476,0467,REG,10,WO774,Maintenance,Regular schedule
425,2025-06-10,JOB903,0457,OT,10,WO558,Maintenance,Day shift
195,2025-05-25,JOB723,0482,DT,10,WO933,Safety,Day shift
674,2025-06-01,JOB855,0472,DT,8,WO262,Maintenance,Regular schedule
528,2025-06-18,JOB241,0449,DT,8,WO187,Maintenance,Night shift
782,2025-08-09,JOB727,0443,OT,4,WO181,FieldOps,Overtime
992,2025-07-09,JOB494,0431,OT,10,WO398,Maintenance,Emergency call
443,2025-07-24,JOB850,0463,OT,12,WO161,Safety,Weekend work
947,2025-07-28,JOB636,0433,OT,6,WO311,FieldOps,Regular schedule
